Location,Air Pollution,Asthma,Smoking,Population,Population_Density,Year
,locat,,,,,
Pennsylvania,11.7,10.1,21.4,12344300,275.8934358,2013
,,,,,,
Rhode Island,8.5,10.8,17.4,1008600,975.4352031,2013
,,,,,,
South Carolina,10.2,8.7,22.5,4616200,153.5610924,2013
,,,,,,
South Dakota,6.4,7.5,22,811600,10.70557043,2013
,,,,,,
Tennessee,10.1,7.7,24.9,6318700,153.2363284,2013
,,,,,,
Texas,10.2,6.8,18.2,25773000,98.65942917,2013
,,,,,,
Utah,9.3,8.9,10.6,2849400,34.67688938,2013
,,,,,,
Vermont,6.9,10.9,16.5,602700,65.39004014,2013
,,,,,,
Virginia,9.3,8.7,19,7945700,201.2079007,2013
,,,,,,
Washington,8.5,9.7,17.2,6797800,102.2902371,2013
,,,,,,
West Virginia,10.7,10.2,28.2,1798200,74.80655629,2013
,,,,,,
Wisconsin,9.6,8.6,20.4,5592500,103.2626759,2013
,,,,,,
Wyoming,5.3,9,21.8,567300,5.842851699,2013
,,,,,,
Alabama,10,8.5,21.5,4714100,93.08125185,2014
,,,,,,
Alaska,4.9,9.3,22.6,706600,1.238256627,2014
,,,,,,
Arizona,9.9,8.9,16.3,6556200,57.71607655,2014
,,,,,,
Arkansas,10.3,8.3,25.9,2880000,55.34736235,2014
,,,,,,
California,13.9,8.7,12.5,37981600,243.8172026,2014
,,,,,,
Colorado,6.8,8.7,17.7,5217000,50.33673607,2014
,,,,,,
Connecticut,8.7,9.8,15.5,3480400,718.7938868,2014
,,,,,,
Delaware,10.2,10.6,19.6,905300,464.4946126,2014
,,,,,,
Florida,7.4,8.3,16.8,19431100,362.3515152,2014
,,,,,,
Georgia,10.3,8.4,18.8,9792900,170.2728079,2014
,,,,,,
Hawaii,8.7,9.4,13.3,1348100,209.8863459,2014
,,,,,,
Idaho,10.4,8.5,17.2,1598800,19.34586111,2014
,,,,,,
Illinois,11.4,7.6,18,12569400,226.39817,2014
,,,,,,
Indiana,11.7,10.3,21.9,6386700,178.2699715,2014
,,,,,,
Iowa,9.6,7.8,19.5,3002100,53.74617326,2014
,,,,,,
Kansas,8.8,8.9,20,2810700,34.37786666,2014
,,,,,,
Kentucky,10.4,9.5,26.5,4268800,108.1092033,2014
,,,,,,
Louisiana,9.2,7.7,23.5,4508500,104.3537635,2014
,,,,,,
Maine,7.6,11.9,20.2,1293800,41.94792984,2014
,,,,,,
Maryland,10,9.4,16.4,5819300,599.4952096,2014
,,,,,,
Massachusetts,7.7,11.4,16.6,6506500,834.1666667,2014
,,,,,,
Michigan,8.8,11.5,21.4,9682700,171.2570084,2014
,,,,,,
Minnesota,8,7.7,18,5330400,66.94211762,2014
,,,,,,
Mississippi,9.3,8.2,24.8,2886800,61.52206807,2014
,,,,,,
Missouri,10,10.8,22.1,5870200,85.39466411,2014
,,,,,,
Montana,6.3,8.6,19,993700,6.827394776,2014
,,,,,,
Nebraska,8,7.3,18.5,1823700,23.73867541,2014
,,,,,,
Nevada,9.3,7.6,19.4,2795200,25.46160082,2014
,,,,,,
New Hampshire,7.5,11,16.2,1286500,143.6948509,2014
,,,,,,
New Jersey,9,9,15.7,8756200,1190.671743,2014
,,,,,,
New Mexico,7.1,9.2,19.1,2036700,16.79087866,2014
,,,,,,
New York,8.5,9.7,16.6,19216400,407.7664134,2014
,,,,,,
North Carolina,9,8.4,20.3,9632900,198.1344358,2014
,,,,,,
North Dakota,5.4,8.3,21.2,708400,10.26651788,2014
,,,,,,
Ohio,10.9,9.7,23.4,11270300,275.8204645,2014
,,,,,,
Oklahoma,9.7,9,23.7,3749500,54.66141847,2014
,,,,,,
Oregon,6.9,11.4,17.3,3889600,40.52173188,2014
,,,,,,
Pennsylvania,11.7,9.6,21,12368000,276.4231276,2014
,,,,,,
Rhode Island,8.4,12,17.4,1013700,980.3675048,2014
,,,,,,
South Carolina,9.5,8.4,22,4674300,155.4938292,2014
,,,,,,
South Dakota,6.3,7.9,19.6,821600,10.83747741,2014
,,,,,,
Tennessee,9.5,7.1,24.3,6374800,154.5968231,2014
,,,,,,
Texas,10.2,7.3,15.9,26280100,100.6006155,2014
,,,,,,
Utah,10.1,9,10.3,2891800,35.19289278,2014
,,,,,,
Vermont,6.4,11.3,16.6,600000,65.09710318,2014
,,,,,,
Virginia,8.7,8.7,19,8006000,202.7348696,2014
,,,,,,
Washington,8.1,9.9,16.1,6887600,103.6415072,2014
,,,,,,
West Virginia,9.8,9,27.3,1791600,74.53199101,2014
,,,,,,
Wisconsin,9.3,10.4,18.7,5603600,103.4676317,2014
,,,,,,
Wyoming,5,9.1,20.6,568500,5.855210983,2014
,,,,,,
Alabama,9.5,9.5,21.1,4730100,93.39717642,2015
,,,,,,
Alaska,6,8.1,19.9,707500,1.239833801,2015
,,,,,,
Arizona,9.7,9.6,16.5,6655100,58.58672113,2015
,,,,,,
Arkansas,9.7,8.8,24.7,2882300,55.39156337,2015
,,,,,,
California,12.5,7.8,12.8,38325100,246.0222495,2015
,,,,,,
Colorado,7,8.4,15.7,5315400,51.28615812,2015
,,,,,,
Connecticut,8.8,9.2,15.4,3478100,718.3188765,2015
,,,,,,
Delaware,9.7,8.8,19.9,918300,471.1646998,2015
,,,,,,
Florida,7.2,8,17.6,19812500,369.4638695,2015
,,,,,,
Georgia,9.8,8.3,17.4,9909700,172.3036531,2015
,,,,,,
Hawaii,7.6,9.2,14.1,1362600,212.143858,2015
,,,,,,
Idaho,11.7,8.6,15.9,1617200,19.5685055,2015
,,,,,,
Illinois,11.1,9.1,16.5,12549700,226.0433365,2015
,,,,,,
Indiana,11.3,10.7,22.9,6415100,179.0626919,2015
,,,,,,
Iowa,9.3,8.5,18.5,3019800,54.06305387,2015
,,,,,,
Kansas,8.6,8.7,18.1,2816600,34.45002997,2015
,,,,,,
Kentucky,10.1,11.9,26.2,4283400,108.4789546,2015
,,,,,,
Louisiana,8.6,7.7,24,4530300,104.8583464,2015
,,,,,,
Maine,7.4,11.6,19.3,1292600,41.90902312,2015
,,,,,,
Maryland,9.6,8.5,14.6,5838300,601.45256,2015
,,,,,,
Massachusetts,7.2,12,14.7,6555600,840.4615385,2015
,,,,,,
Michigan,8.8,10.9,21.2,9693800,171.4533331,2015
,,,,,,
Minnesota,8,8.4,16.3,5365600,67.38417873,2015
,,,,,,
Mississippi,8.9,7.4,23,2889300,61.57534684,2015
,,,,,,
