Location,Air Pollution,Asthma,Smoking,Population,Population_Density,Year
,locat,,,,,
New Jersey,8.1,8.4,13.1,8699400,1182.948055,2019
,,,,,,
New Mexico,6,9.9,15.2,2041400,16.82962621,2019
,,,,,,
New York,6.6,10.1,12.8,18908300,401.2286211,2019
,,,,,,
North Carolina,7.2,9.4,17.4,10139700,208.5585586,2019
,,,,,,
North Dakota,4.6,8.2,19.1,731000,10.59404936,2019
,,,,,,
Ohio,8.5,9.4,20.5,11351500,277.8076895,2019
,,,,,,
Oklahoma,8.2,10.3,19.7,3826900,55.7897806,2019
,,,,,,
Oregon,7.8,11.6,15.6,4128900,43.01475184,2019
,,,,,,
Pennsylvania,9.2,10,17,12377600,276.6376863,2019
,,,,,,
Rhode Island,7.3,11.9,14.6,1017100,983.655706,2019
,,,,,,
South Carolina,7.4,9.1,18,4984200,165.8028675,2019
,,,,,,
South Dakota,5.1,7.9,19,851300,11.22924114,2019
,,,,,,
Tennessee,7.4,9.8,20.7,6640900,161.0500788,2019
,,,,,,
Texas,8.3,7.4,14.4,28286200,108.2799963,2019
,,,,,,
Utah,8.4,9.3,9,3154100,38.38505537,2019
,,,,,,
Vermont,5.1,12,13.7,598100,64.89096235,2019
,,,,,,
Virginia,6.9,8.5,14.9,8185100,207.270195,2019
,,,,,,
Washington,8,9.6,12,7423900,111.7115084,2019
,,,,,,
West Virginia,7.6,12.3,25.2,1739000,72.343789,2019
,,,,,,
Wisconsin,6.8,9,16.4,5677100,104.824772,2019
,,,,,,
Wyoming,5,8.7,18.8,562700,5.795474442,2019
,,,,,,
Alabama,8,9.5,20.2,5024279,99.20582486,2020
,,,,,,
Alaska,6.9,9.9,17.4,733391,1.285205585,2020
,,,,,,
Arizona,8.6,9.7,14.9,7151502,62.95668785,2020
,,,,,,
Arkansas,7.3,9.3,20.2,3011524,57.87496877,2020
,,,,,,
California,12.6,7.8,10,39538223,253.8097112,2020
,,,,,,
Colorado,6.7,9.7,13.5,5773714,55.70824569,2020
,,,,,,
Connecticut,7,10.5,12.1,3605944,744.7220157,2020
,,,,,,
Delaware,8.3,9.8,15.9,989948,507.926116,2020
,,,,,,
Florida,7.3,7.4,14.8,21538187,401.6445128,2020
,,,,,,
Georgia,7.9,7.7,16.3,10711908,186.251943,2020
,,,,,,
Hawaii,4.8,9.6,12.3,1455271,226.5718512,2020
,,,,,,
Idaho,6.6,10,15.3,1839106,22.253621,2020
,,,,,,
Illinois,9.5,8.2,14.5,12812508,230.7769953,2020
,,,,,,
Indiana,8.7,9.8,19.2,6785528,189.4023335,2020
,,,,,,
Iowa,7.3,8,16.4,3190369,57.11672664,2020
,,,,,,
Kansas,7.4,9.9,16.2,2937880,35.93341406,2020
,,,,,,
Kentucky,7.9,9.5,23.6,4505836,114.1122423,2020
,,,,,,
Louisiana,8,7.9,21.9,4657757,107.8084668,2020
,,,,,,
Maine,5.3,11.8,17.6,1362359,44.17076808,2020
,,,,,,
Maryland,7.2,9,12.7,6177224,636.3679819,2020
,,,,,,
Massachusetts,6.4,10.3,12,7029917,901.2714103,2020
,,,,,,
Michigan,8,11.1,18.7,10077331,178.23681,2020
,,,,,,
Minnesota,6.8,8.3,14.6,5706494,71.66531453,2020
,,,,,,
Mississippi,7.8,9.9,20.4,2961279,63.10932805,2020
,,,,,,
Missouri,7.6,10.1,19.6,6154913,89.53642606,2020
,,,,,,
Montana,6.3,10,16.6,1084225,7.449363088,2020
,,,,,,
Nebraska,7,8,14.7,1961504,25.53243778,2020
,,,,,,
Nevada,8.3,9.4,15.7,3104614,28.28006668,2020
,,,,,,
New Hampshire,4.1,10.8,15.9,1377529,153.8622808,2020
,,,,,,
New Jersey,8,8.4,13.1,9288994,1263.121295,2020
,,,,,,
New Mexico,5.9,8.4,16,2117522,17.45718808,2020
,,,,,,
New York,6.4,9.3,12.7,20201249,428.6646225,2020
,,,,,,
North Carolina,7,8.3,18.5,10439388,214.7226953,2020
,,,,,,
North Dakota,5,8.1,17,779094,11.29105375,2020
,,,,,,
Ohio,8.7,11.1,20.8,11799448,288.7704168,2020
,,,,,,
Oklahoma,8.4,10.2,18.9,3959353,57.72072308,2020
,,,,,,
Oregon,8.3,11.1,14.5,4237256,44.14360128,2020
,,,,,,
Pennsylvania,8.8,10.9,17.3,13002700,290.6085868,2020
,,,,,,
Rhode Island,7,11.2,13.3,1097379,1061.294971,2020
,,,,,,
South Carolina,7.2,9.4,17.5,5118425,170.2679552,2020
,,,,,,
South Dakota,5.2,8.5,18.3,886667,11.69575655,2020
,,,,,,
Tennessee,7.2,8.8,19.9,6910840,167.5964593,2020
,,,,,,
Texas,8.4,7.1,14.7,29145505,111.5694287,2020
,,,,,,
Utah,7.8,9.9,7.9,3271616,39.81521236,2020
,,,,,,
Vermont,4.8,11.6,15.1,643077,69.7707497,2020
,,,,,,
Virginia,6.9,8.8,14,8631393,218.5716131,2020
,,,,,,
Washington,8.3,9.9,12.6,7705281,115.9456031,2020
,,,,,,
West Virginia,7.4,11.5,23.8,1793716,74.6200183,2020
,,,,,,
Wisconsin,7,10.2,15.4,5893718,108.8245135,2020
,,,,,,
Wyoming,4.5,9.5,18.4,576851,5.941221303,2020
