Location,Asthma,Smoking,Population,Median AQI,Population Density,Crowded Housing,Access to Care - Annual
Nebraska,8.9,16.0,1873600.0,24.555555555555557,24.388212017077997,1.8,
Nevada,8.0,15.7,3029700.0,34.0,27.597671728258987,4.1,
New Hampshire,11.8,15.6,1314000.0,34.142857142857146,146.76644700100525,1.5,
New Jersey,8.4,13.1,8699400.0,39.4375,1182.948055480011,3.3,
New Mexico,9.9,15.2,2041400.0,31.1875,16.829626209830334,3.6,
New York,10.1,12.8,18908300.0,31.741935483870968,401.2286211433179,5.1,
North Carolina,9.4,17.4,10139700.0,36.44736842105263,208.55855855855856,2.4,
North Dakota,8.2,19.1,731000.0,32.9,10.594049361603455,2.1,
Ohio,9.4,20.5,11351500.0,35.5,277.8076894838599,1.4,
Oklahoma,10.3,19.7,3826900.0,33.95652173913044,55.78978059625337,2.5,
Oregon,11.6,15.6,4128900.0,26.708333333333332,43.0147518439805,3.7,
Pennsylvania,10.0,17.0,12377600.0,37.73170731707317,276.6376863419976,1.4,
Rhode Island,11.9,14.6,1017100.0,37.0,983.6557059961315,1.7,
South Carolina,9.1,18.0,4984200.0,37.888888888888886,165.80286750274442,2.0,
South Dakota,7.9,19.0,851300.0,31.2,11.229241139148673,2.2,
Tennessee,9.8,20.7,6640900.0,36.0,161.05007881653935,2.0,
Texas,7.4,14.4,28286200.0,33.395833333333336,108.27999632510566,4.7,
Utah,9.3,9.0,3154100.0,42.2,38.385055373007184,3.8,
Vermont,12.0,13.7,598100.0,29.0,64.89096235217532,1.5,
Virginia,8.5,14.9,8185100.0,30.558823529411764,207.27019498607243,2.1,
Washington,9.6,12.0,7423900.0,25.193548387096776,111.71150836643794,3.4,
West Virginia,12.3,25.2,1739000.0,29.75,72.34378900074881,1.6,
Wisconsin,9.0,16.4,5677100.0,34.92857142857143,104.82477196351417,1.7,
Wyoming,8.7,18.8,562700.0,38.833333333333336,5.795474442029806,2.1,
Alabama,9.5,20.2,5024279.0,34.53333333333333,99.20582485931484,1.5,-1.165
Alaska,9.9,17.4,733391.0,16.11111111111111,1.2852055845969708,6.7,0.372
Arizona,9.7,14.9,7151502.0,47.30769230769231,62.956687853231685,4.3,-0.643
Arkansas,9.3,20.2,3011524.0,33.0,57.8749687710195,2.8,-0.709
California,7.8,10.0,39538223.0,48.0188679245283,253.80971119342146,8.2,0.36
Colorado,9.7,13.5,5773714.0,34.357142857142854,55.70824569190097,2.7,0.457
Connecticut,10.5,12.1,3605944.0,39.125,744.7220156959934,1.6,1.047
Delaware,9.8,15.9,989948.0,38.0,507.92611595690096,1.8,0.396
Florida,7.4,14.8,21538187.0,35.05128205128205,401.64451282051283,2.9,-0.963
Georgia,7.7,16.3,10711908.0,33.172413793103445,186.2519430389651,2.1,-1.403
Hawaii,9.6,12.3,1455271.0,17.5,226.57185115989412,8.5,1.131
Idaho,10.0,15.3,1839106.0,25.047619047619047,22.253620996333627,2.8,-0.544
Illinois,8.2,14.5,12812508.0,33.44444444444444,230.77699526288296,2.3,0.229
Indiana,9.8,19.2,6785528.0,33.916666666666664,189.40233350080948,1.5,-0.215
Iowa,8.0,16.4,3190369.0,33.8125,57.116726641244604,1.8,0.767
Kansas,9.9,16.2,2937880.0,31.272727272727273,35.93341405839112,1.9,-0.166
Kentucky,9.5,23.6,4505836.0,34.44444444444444,114.11224231373144,2.1,0.353
Louisiana,7.9,21.9,4657757.0,32.608695652173914,107.80846680862884,2.3,-0.446
Maine,11.8,17.6,1362359.0,33.5,44.17076808351976,1.5,0.632
Maryland,9.0,12.7,6177224.0,33.23529411764706,636.3679818687546,2.4,0.664
Massachusetts,10.3,12.0,7029917.0,36.53846153846154,901.2714102564103,2.1,1.842
Michigan,11.1,18.7,10077331.0,32.925925925925924,178.23680998956473,1.6,0.658
Minnesota,8.3,14.6,5706494.0,28.952380952380953,71.66531452899142,2.1,0.941
Mississippi,9.9,20.4,2961279.0,37.2,63.109328048078766,2.6,-1.252
Missouri,10.1,19.6,6154913.0,35.708333333333336,89.53642605685025,1.9,-0.384
Montana,10.0,16.6,1084225.0,25.63157894736842,7.449363087958446,1.9,0.513
Nebraska,8.0,14.7,1961504.0,24.77777777777778,25.53243777986046,1.9,0.276
Nevada,9.4,15.7,3104614.0,36.22222222222222,28.28006667820479,4.3,-0.807
New Hampshire,10.8,15.9,1377529.0,34.714285714285715,153.86228079973193,1.5,0.719
New Jersey,8.4,13.1,9288994.0,36.9375,1263.1212945335872,3.2,0.066
New Mexico,8.4,16.0,2117522.0,30.625,17.45718808224373,3.3,-0.047
New York,9.3,12.7,20201249.0,32.82142857142857,428.66462250137926,4.9,0.831
North Carolina,8.3,18.5,10439388.0,31.026315789473685,214.72269529803776,2.3,-0.68
North Dakota,8.1,17.0,779094.0,30.2,11.291053752844162,1.8,0.729
Ohio,11.1,20.8,11799448.0,31.636363636363637,288.77041677883557,1.5,0.311
Oklahoma,10.2,18.9,3959353.0,33.25,57.72072308477294,2.6,-0.934
Oregon,11.1,14.5,4237256.0,27.434782608695652,44.14360128349377,3.4,0.493
Pennsylvania,10.9,17.3,13002700.0,35.75609756097561,290.60858681804973,1.5,0.707
Rhode Island,11.2,13.3,1097379.0,34.333333333333336,1061.2949709864604,1.9,1.321
South Carolina,9.4,17.5,5118425.0,31.333333333333332,170.2679551578457,2.2,-0.705
South Dakota,8.5,18.3,886667.0,33.1,11.695756552479192,2.0,0.192
Tennessee,8.8,19.9,6910840.0,32.56521739130435,167.59645931854007,1.9,-0.534
Texas,7.1,14.7,29145505.0,31.46153846153846,111.56942870704967,4.7,-1.641
Utah,9.9,7.9,3271616.0,41.06666666666667,39.815212364609955,3.4,-0.347
Vermont,11.6,15.1,643077.0,28.75,69.77074970163828,1.9,1.296
Virginia,8.8,14.0,8631393.0,27.606060606060606,218.57161306659913,2.0,0.074
Washington,9.9,12.6,7705281.0,24.06451612903226,115.94560310581437,3.5,0.683
West Virginia,11.5,23.8,1793716.0,26.25,74.62001830435145,1.2,0.017
Wisconsin,10.2,15.4,5893718.0,34.92857142857143,108.82451346061524,1.5,0.621
Wyoming,9.5,18.4,576851.0,35.55555555555556,5.9412213032865395,2.1,-0.348
