Location,Asthma,Smoking,Population,Median AQI,Population Density,Crowded Housing,Access to Care - Annual
Pennsylvania,10.1,21.4,12344300.0,41.82051282051282,275.89343584471317,,
Rhode Island,10.8,17.4,1008600.0,39.333333333333336,975.4352030947775,,
South Carolina,8.7,22.5,4616200.0,33.73684210526316,153.5610924453611,,
South Dakota,7.5,22.0,811600.0,37.44444444444444,10.705570431731543,,
Tennessee,7.7,24.9,6318700.0,38.4,153.23632836182855,,
Texas,6.8,18.2,25773000.0,38.58139534883721,98.65942916641147,,
Utah,8.9,10.6,2849400.0,44.733333333333334,34.67688937568455,,
Vermont,10.9,16.5,602700.0,30.25,65.39004014321362,,
Virginia,8.7,19.0,7945700.0,31.194444444444443,201.20790073436314,,
Washington,9.7,17.2,6797800.0,27.448275862068964,102.29023714939208,,
West Virginia,10.2,28.2,1798200.0,35.4,74.80655628588069,,
Wisconsin,8.6,20.4,5592500.0,34.45454545454545,103.26267587429373,,
Wyoming,9.0,21.8,567300.0,36.77777777777778,5.842851698886634,,
Alabama,8.5,21.5,4714100.0,38.166666666666664,93.08125185112054,,
Alaska,9.3,22.6,706600.0,23.375,1.2382566271964335,,
Arizona,8.9,16.3,6556200.0,46.23076923076923,57.716076553339086,,
Arkansas,8.3,25.9,2880000.0,33.36363636363637,55.3473623522629,,
California,8.7,12.5,37981600.0,48.888888888888886,243.81720257544342,,
Colorado,8.7,17.7,5217000.0,36.6,50.336736072248705,,
Connecticut,9.8,15.5,3480400.0,41.875,718.7938868236266,,
Delaware,10.6,19.6,905300.0,44.666666666666664,464.49461262185736,,
Florida,8.3,16.8,19431100.0,36.23076923076923,362.3515151515152,,
Georgia,8.4,18.8,9792900.0,41.03125,170.27280788691252,,
Hawaii,9.4,13.3,1348100.0,48.75,209.8863459442628,,
Idaho,8.5,17.2,1598800.0,25.09090909090909,19.345861113463936,,
Illinois,7.6,18.0,12569400.0,34.38461538461539,226.39816999585727,,
Indiana,10.3,21.9,6386700.0,37.28888888888889,178.2699715290571,,
Iowa,7.8,19.5,3002100.0,37.68421052631579,53.74617326387024,,
Kansas,8.9,20.0,2810700.0,32.416666666666664,34.377866656881814,,
Kentucky,9.5,26.5,4268800.0,38.58620689655172,108.10920326191561,,
Louisiana,7.7,23.5,4508500.0,38.36363636363637,104.35376354041293,,
Maine,11.9,20.2,1293800.0,33.90909090909091,41.947929838212886,,
Maryland,9.4,16.4,5819300.0,43.0625,599.495209642526,,
Massachusetts,11.4,16.6,6506500.0,38.46153846153846,834.1666666666666,,
Michigan,11.5,21.4,9682700.0,37.464285714285715,171.25700843665433,,
Minnesota,7.7,18.0,5330400.0,31.761904761904763,66.9421176234192,,
Mississippi,8.2,24.8,2886800.0,38.3,61.522068068964046,,
Missouri,10.8,22.1,5870200.0,39.09090909090909,85.39466410636874,,
Montana,8.6,19.0,993700.0,27.263157894736842,6.8273947755348825,,
Nebraska,7.3,18.5,1823700.0,25.545454545454547,23.738675413933144,,
Nevada,7.6,19.4,2795200.0,41.0,25.461600823457612,,
New Hampshire,11.0,16.2,1286500.0,37.42857142857143,143.69485088797052,,
New Jersey,9.0,15.7,8756200.0,39.625,1190.6717432689693,,
New Mexico,9.2,19.1,2036700.0,33.05882352941177,16.79087866246764,,
New York,9.7,16.6,19216400.0,35.10344827586207,407.76641344480754,,
North Carolina,8.4,20.3,9632900.0,38.59574468085106,198.1344358056687,,
North Dakota,8.3,21.2,708400.0,35.0,10.266517876552514,,
Ohio,9.7,23.4,11270300.0,37.63414634146341,275.820464501603,,
Oklahoma,9.0,23.7,3749500.0,38.90909090909091,54.66141847073402,,
Oregon,11.4,17.3,3889600.0,27.695652173913043,40.52173188315206,,
Pennsylvania,9.6,21.0,12368000.0,42.23076923076923,276.4231276400778,,
Rhode Island,12.0,17.4,1013700.0,37.0,980.3675048355899,,
South Carolina,8.4,22.0,4674300.0,37.73684210526316,155.49382921393166,,
South Dakota,7.9,19.6,821600.0,33.22222222222222,10.837477410929813,,
Tennessee,7.1,24.3,6374800.0,38.25,154.59682308718322,,
Texas,7.3,15.9,26280100.0,37.76744186046512,100.60061554480309,,
Utah,9.0,10.3,2891800.0,41.4,35.19289278325423,,
Vermont,11.3,16.6,600000.0,29.0,65.09710317890854,,
Virginia,8.7,19.0,8006000.0,31.885714285714286,202.73486958723728,,
Washington,9.9,16.1,6887600.0,25.17241379310345,103.64150716263393,,
West Virginia,9.0,27.3,1791600.0,34.93333333333333,74.53199101422747,,
Wisconsin,10.4,18.7,5603600.0,37.18518518518518,103.467631744156,,
Wyoming,9.1,20.6,568500.0,35.10526315789474,5.855210983284068,,
Alabama,9.5,21.1,4730100.0,39.333333333333336,93.39717642412874,,
Alaska,8.1,19.9,707500.0,23.125,1.2398338009361403,,
Arizona,9.6,16.5,6655100.0,43.61538461538461,58.58672112963713,,
